Address_place,  города Искитима Новосибирской области
Address_street, улица  Заводская нечетные с № 1 по № 53 141
Address_street, улица  Заводская нечетные с № 1 по № 53 142
Address_street, улица  Заводская нечетные с № 1 по № 53 143
Address_street, улица  Заводская нечетные с № 1 по № 53 144
Address_street, улица  Заводская нечетные с № 1 по № 53 145
Address_street, улица  Заводская нечетные с № 1 по № 53 146
Address_street, улица  Заводская нечетные с № 1 по № 53 147
Address_street, улица  Заводская нечетные с № 1 по № 53 148
Address_street, улица  Заводская нечетные с № 1 по № 53 149
Address_street, улица  Заводская нечетные с № 1 по № 53 150
Address_street, улица  Заводская нечетные с № 1 по № 53 151
Address_street, улица  Заводская нечетные с № 1 по № 53 152
Address_street, улица  Заводская нечетные с № 1 по № 53 153
Address_street, улица  Заводская нечетные с № 1 по № 53 154
Address_street, улица  Заводская нечетные с № 1 по № 53 155
Address_street, улица  Заводская нечетные с № 1 по № 53 156
Address_street, улица  Заводская нечетные с № 1 по № 53 157
Address_street, улица  Заводская нечетные с № 1 по № 53 158
Address_street, улица  Заводская нечетные с № 1 по № 53 159
Address_street, улица  Заводская нечетные с № 1 по № 53 160
Address_street, улица  Заводская нечетные с № 1 по № 53 161
Address_street, улица  Заводская нечетные с № 1 по № 53 162
Address_street, улица  Заводская нечетные с № 1 по № 53 163
Address_street, улица  Заводская нечетные с № 1 по № 53 164
Address_street, улица  Заводская нечетные с № 1 по № 53 165
Address_street, улица  Заводская нечетные с № 1 по № 53 166
Address_street, улица  Заводская нечетные с № 1 по № 53 167
Address_street, улица  Заводская нечетные с № 1 по № 53 168
Address_street, улица  Заводская нечетные с № 1 по № 53 169
Address_street, улица  Заводская нечетные с № 1 по № 53 170
Address_street, улица  Заводская нечетные с № 1 по № 53  Трудовая.
Precinct_number,1377
Precinct_place, город Искитим ул.Комсомольская 28 (помещение муниципального бюджетного общеобразовательного учреждения – Средняя общеобразовательная школа №1 
Precinct_address, ул.Комсомольская  28 (помещение муниципального бюджетного общеобразовательного учреждения – Средняя общеобразовательная школа №1 
Address_side, переулок  Рабочий  Семипалатинский
Address_side, переулок  Рабочий  Томский
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  Ленина
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  Матросова
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  Мостовая
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  Октябрьская
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  Рабочая
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  Радиаторная
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  Семипалатинская (кроме № 1
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 63
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 64
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 65
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 66
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 67
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 68
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 69
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 70
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 71
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 72
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 73
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 74
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 75
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 76
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 77
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 78
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 79
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 80
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 81
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 82
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54) 83
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  Советская №№ 170
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  172
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  174
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  177
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  179
